"","block_number","street1","street2"
"587","100","SEAWALL DR",NA
"588","2300","PIEDMONT AVE",NA
"589",NA,"ADELINE STREET","ASHBY AVE"
"590","2100","SHATTUCK AVE",NA
"591","1800","HOPKINS ST",NA
"592",NA,"NINTH STREET","VIRGINIA ST"
"593",NA,"VINE STREET","SHATTUCK AVE"
"594","2500","HASTE ST",NA
"595",NA,"MILVIA STREET","ALLSTON WAY"
"596",NA,"SAN PABLO AVENUE","CAMELIA ST"
"597","2400","ASHBY AVE",NA
"598","7765","CLAREMONT AVE",NA
"599","1000","ALLSTON WAY",NA
"600","1800","HEARST AVE",NA
"601","2000","ASHBY AVE",NA
"602","900","CHANNING WAY",NA
"603","2400","PROSPECT ST",NA
"604",NA,"FIFTH STREET","DWIGHT WAY"
"605","2100","CHANNING WAY",NA
"606","2800","ADELINE ST",NA
"607","2100","DURANT AVE",NA
"608","1900","HASTE ST",NA
"609","1400","SAN PABLO AVE",NA
"610","2714","MARTIN LUTHER KING JR WAY",NA
"611","1200","ASHBY AVE",NA
"612","1400","HENRY ST",NA
"613","2900","AVALON AVE",NA
"614","2600","GRANT ST",NA
"615","2200","SHATTUCK AVE",NA
"616","2300","WARRING ST",NA
"617",NA,"COLLEGE AVENUE","ALCATRAZ AVE"
"618","400","GILMAN ST",NA
"619","1200","COLUSA AVE",NA
"620","2200","SHATTUCK AVE",NA
"621",NA,"CALIFORNIA STREET","VIRGINIA ST"
"622","1300","NINTH ST",NA
"623","900","SPRUCE ST",NA
"624","2900","HILLEGASS AVE",NA
"625","2300","VALLEY ST",NA
"626","1500","HENRY ST",NA
"627","100","SEAWALL DR",NA
"628",NA,"UNIVERSITY AVENUE","CURTIS ST"
"629","800","HEARST AVE",NA
"630","2500","SHATTUCK AVE",NA
"631","2000","DURANT AVE",NA
"632","900","UNIVERSITY AVE",NA
"633","2000","ALLSTON WAY",NA
"634","745","ALVARADO RD",NA
"635","800","EUCLID AVE",NA
"636","1000","DELAWARE ST",NA
"637",NA,"",NA
"638","1400","SUMMIT RD",NA
"639","1800","SHATTUCK AVE",NA
"640","900","UNIVERSITY AVE",NA
"641","2600","DANA ST",NA
"642","2500","MCGEE AVE",NA
"643","1900","SHATTUCK AVE",NA
"644","1200","PARKER ST",NA
"645","1200","SIXTH ST",NA
"646",NA,"WARD STREET","SAN PABLO AVE"
"647","1300","DWIGHT WAY",NA
"648","2900","TELEGRAPH AVE",NA
"649","400","GILMAN ST",NA
"650","2000","BLAKE ST",NA
"651",NA,"CEDAR STREET","CHESTNUT ST"
"652","1600","SHATTUCK AVE",NA
"653","1500","OREGON ST",NA
"654",NA,"BOWDITCH STREET","CHANNING WAY"
"655","2100","BLAKE ST",NA
"656","2300","EUNICE ST",NA
"657","1600","SAN PABLO AVE",NA
"658","2600","TELEGRAPH AVE",NA
"659",NA,"BONAR STREET","ALLSTON WAY"
"660","2400","CHANNING WAY",NA
"661","2500","TELEGRAPH AVE",NA
"662","100","SEAWALL DR",NA
"663","2200","DURANT AVE",NA
"664","900","CAMELIA ST",NA
"665","1800","SOLANO AVE",NA
"666","700","HEINZ AVE",NA
"667","1000","ADDISON ST",NA
"668","2500","DWIGHT WAY",NA
"669","2200","FULTON ST",NA
"670","2500","TELEGRAPH AVE",NA
"671","2400","DURANT AVE",NA
"672","2100","DWIGHT WAY",NA
"673","1600","JULIA ST",NA
"674","2000","OREGON ST",NA
"675","1800","FOURTH ST",NA
"676","200","HILLCREST RD",NA
"677",NA,"CLAREMONT AVENUE","RUSSELL ST"
"678","100","PANORAMIC WAY",NA
"679","2400","WARRING ST",NA
"680","2100","OXFORD ST",NA
"681",NA,"ADELINE STREET","ESSEX ST"
"682","3300","KING ST",NA
"683","2100","MCKINLEY AVE",NA
"684","1700","FOURTH ST",NA
"685",NA,"SPINNAKER WAY","MARINA BLVD"
"686",NA,"CHANNING WAY","TELEGRAPH AVE"
"687","1400","STANNAGE AVE",NA
"688","1900","SAN PABLO AVE",NA
"689","1400","WARD ST",NA
"690","2000","NINTH ST",NA
"691","2140","DWIGHT WAY",NA
"692","1800","SECOND ST",NA
"693","1700","HIGHLAND PL",NA
"694","1200","BERKELEY WAY",NA
"695","2400","GRANT ST",NA
"696","1845","BERKELEY WAY",NA
"697","200","UNIVERSITY AVE",NA
"698","600","HARRISON ST",NA
"699","2000","ALLSTON WAY",NA
"700","1988","MARTIN LUTHER KING JR WAY",NA
"701","2600","SAN PABLO AVE",NA
"702","2200","MILVIA ST",NA
"703","2900","COLLEGE AVE",NA
"704","2700","TELEGRAPH AVE",NA
"705","2000","CHANNING WAY",NA
"706","1200","FIFTH ST",NA
"707","2600","DURANT AVE",NA
"708",NA,"ALLSTON WAY","HAROLD WAY"
"709","2900","NINTH ST",NA
"710","2200","BROWNING ST",NA
"711","2000","MCGEE AVE",NA
"712","1600","TACOMA AVE",NA
"713","1600","ALCATRAZ AVE",NA
"714","2400","SACRAMENTO ST",NA
"715","2300","SHATTUCK AVE",NA
"716","900","REGAL RD",NA
