"","block_number","street1","street2"
"2105","2200","FIFTH ST",NA
"2106","2700","DURANT AVE",NA
"2107","2020","SHATTUCK",NA
"2108",NA,"SOLANO AVENUE","THE ALAMEDA"
"2109","1500","TYLER ST",NA
"2110","1200","NEILSON ST",NA
"2111","2500","COLLEGE AVE",NA
"2112","2400","WARRING ST",NA
"2113","1900","ALCATRAZ AVE",NA
"2114","2200","FIFTH ST",NA
"2115","1000","CAMELIA ST",NA
"2116",NA,"MILVIA STREET","UNIVERSITY AVE"
"2117","1800","ALLSTON WAY",NA
"2118","1500","CHANNING WAY",NA
"2119","1400","GRIZZLY PEAK BLVD",NA
"2120","1400","HAWTHORNE TER",NA
"2121","2900","COLLEGE AVE",NA
"2122","2000","FOURTH ST",NA
"2123","1700","HOPKINS ST",NA
"2124","1900","RUSSELL ST",NA
"2125","2400","ACTON ST",NA
"2126","2700","MILVIA ST",NA
"2127","2300","SHATTUCK AVE",NA
"2128","1200","UNIVERSITY AVE",NA
"2129","2500","SACRAMENTO ST",NA
"2130","1500","UNIVERSITY AVE",NA
"2131","2500","BENVENUE AVE",NA
"2132","2400","DURANT AVE",NA
"2133","2400","DWIGHT WAY",NA
"2134","1000","GILMAN ST",NA
"2135","3000","ASHBY AVE",NA
"2136",NA,"ASHBY AVENUE","COLBY ST"
"2137",NA,"RUSSELL STREET","MCGEE AVE"
"2138","1600","RUSSELL ST",NA
"2139",NA,"ADDISON STREET","SIXTH ST"
"2140","800","UNIVERSITY AVE",NA
"2141","2300","CARLETON ST",NA
"2142",NA,"WHEELER STREET","EMERSON ST"
"2143","1700","DERBY ST",NA
"2144","1900","ACTON ST",NA
"2145","2900","ELLIS ST",NA
"2146","3200","SACRAMENTO ST",NA
"2147","800","UNIVERSITY AVE",NA
"2148","2200","ROOSEVELT AVE",NA
"2149","2808","MARTIN LUTHER KING JR. WAY",NA
"2150","1600","ALCATRAZ AVE",NA
"2151","2400","DWIGHT WAY",NA
"2152","2000","BERRYMAN ST",NA
"2153",NA,"BLAKE STREET","FULTON ST"
"2154","2700","WALKER ST",NA
"2155","2300","SHATTUCK AVE",NA
"2156","1200","GILMAN ST",NA
"2157","1700","SOLANO AVE",NA
"2158","2500","DANA ST",NA
"2159","2000","CENTER ST",NA
"2160","1900","HEARST AVE",NA
"2161","2100","EMERSON ST",NA
"2162","1900","CENTER ST",NA
"2163","1000","ASHBY AVE",NA
"2164","2800","BENVENUE AVE",NA
"2165","1500","GRANT ST",NA
"2166","2500","TELEGRAPH AVE",NA
"2167","400","VASSAR AVE",NA
"2168","2500","TELEGRAPH AVE",NA
"2169","1100","PARKER ST",NA
"2170","1700","SOLANO AVE",NA
"2171","1885","UNIVERSITY AVE",NA
"2172",NA,"FOURTH STREET","VIRGINIA ST"
"2173",NA,"BANCROFT WAY","FOURTH ST"
"2174","2200","SAN PABLO AVE",NA
"2175","1900","SHATTUCK AVE",NA
"2176","1600","UNIVERSITY AVE",NA
"2177","1900","CENTER ST",NA
"2178","2400","TELEGRAPH AVE",NA
"2179",NA,"SHATTUCK AVENUE","ALLSTON WAY"
"2180","2400","ELLSWORTH ST",NA
"2181","1700","OREGON ST",NA
"2182","2000","CENTER ST",NA
"2183","1000","CRAGMONT AVE",NA
"2184","1800","HEARST AVE",NA
"2185","2700","SHASTA RD",NA
"2186","1300","SIXTH ST",NA
"2187","1200","SAN PABLO AVE",NA
"2188","2800","GRANT ST",NA
"2189","2300","VINE ST",NA
"2190","1600","MILVIA ST",NA
"2191","2200","SHATTUCK AVE",NA
"2192",NA,"CHANNING WAY","TELEGRAPH AVE"
"2193","1300","SAN PABLO AVE",NA
"2194",NA,"",NA
"2195","1400","SHATTUCK AVE",NA
"2196","1300","BERKELEY WAY",NA
"2197","1200","EUCLID ST",NA
"2198",NA,"DWIGHT WAY","BENVENUE AVE"
"2199",NA,"",NA
"2200","2700","PARK ST",NA
"2201","2000","UNIVERSITY AVE",NA
"2202","2100","MILVIA ST",NA
"2203",NA,"NINTH STREET","GRAYSON ST"
"2204","1700","HOPKINS ST",NA
"2205","1100","EASTSHORE HWY",NA
"2206","1100","HILLVIEW RD",NA
"2207","100","ALVARADO RD",NA
"2208","800","SANTA BARBARA RD",NA
"2209","2800","ADELINE ST",NA
"2210","2800","SACRAMENTO ST",NA
"2211","2400","DWIGHT WAY",NA
"2212",NA,"SACRAMENTO STREET","PRINCE ST"
"2213","61ST","STREET & BAKER ST",NA
"2214","2000","CENTER ST",NA
"2215","2200","SHATTUCK AVE",NA
"2216","2000","SAN PABLO AVE",NA
"2217","2300","FULTON ST",NA
"2218","2900","TELEGRAPH AVE",NA
"2219","1900","GRANT ST",NA
"2220","2400","DURANT AVE",NA
"2221","1400","SHATTUCK AVE",NA
"2222","1900","ALLSTON WAY",NA
"2223","1500","SHATTUCK AVE",NA
"2224",NA,"BURNETT STREET","SAN PABLO AVE"
"2225","2900","COLLEGE AVE",NA
"2226","400","GILMAN ST",NA
"2227","2700","ACTON ST",NA
"2228",NA,"SEVENTH STREET","GILMAN ST"
"2229",NA,"SIXTH STREET","HARRISON ST"
"2230",NA,"DURANT AVENUE","TELEGRAPH AVE"
"2231","1200","CARLETON ST",NA
"2232","2000","ALLSTON WAY",NA
"2233",NA,"ALCATRAZ AVENUE","SACRAMENTO ST"
"2234","1600","WALNUT ST",NA
"2235","1700","CARLETON ST",NA
"2236","2500","HASTE ST",NA
"2237","1600","SCENIC AVE",NA
"2238","2000","STUART ST",NA
"2239",NA,"SHATTUCK AVENUE","BANCROFT WAY"
"2240","900","GILMAN ST",NA
"2241","2000","EUNICE ST",NA
"2242","3006","MARTIN LUTHER KING JR WAY",NA
"2243","1250","UNIVERSITY ST",NA
"2244",NA,"DERBY STREET","SACRAMENTO ST"
"2245","1600","RUSSELL ST",NA
"2246","1200","HOPKINS ST",NA
"2247","2400","DWIGHT WAY",NA
"2248","2300","PRINCE ST",NA
"2249","2100","STUART ST",NA
"2250","1500","NORTH ST",NA
"2251","1500","VIRGINIA ST",NA
"2252","2600","MILVIA ST",NA
"2253","1300","SAN PABLO AVE",NA
"2254","2200","HEARST AVE",NA
"2255","2140","DWIGHT WAY",NA
"2256","1900","ALLSTON WAY",NA
"2257","1100","KEITH AVE",NA
"2258","3300","ADELINE ST",NA
"2259","2000","UNIVERSITY AVE",NA
"2260","1200","HASKELL ST",NA
"2261","1500","DWIGHT WAY",NA
"2262","2500","TELEGRAPH AVE",NA
"2263","700","HARRISON ST",NA
"2264","200","TUNNEL RD",NA
"2265","1700","FOURTH ST",NA
"2266","2400","WARRING ST",NA
"2267",NA,"TELEGRAPH AVENUE","WOOLSEY ST"
"2268","1300","SIXTY-SIXTH ST",NA
"2269","400","GILMAN ST",NA
"2270","2600","DANA ST",NA
"2271","2000","OREGON ST",NA
"2272","1900","UNIVERSITY AVE",NA
"2273","2500","BUENA VISTA WAY",NA
"2274","1800","SOLANO AVE",NA
"2275","2100","OXFORD ST",NA
"2276","1000","UNIVERSITY AVE",NA
"2277","1100","KEITH AVE",NA
"2278","2400","TELEGRAPH AVE",NA
"2279","2600","REGENT ST",NA
"2280","2300","WARRING ST",NA
"2281","2300","CURTIS ST",NA
"2282","1000","SPRUCE ST",NA
"2283","1300","BERKELEY WAY",NA
"2284","1500","JUANITA WAY",NA
"2285","2300","TELEGRAPH AVE",NA
"2286",NA,"TELEGRAPH AVENUE","BLAKE ST"
"2287","1000","BANCROFT WAY",NA
"2288","1600","SHATTUCK AVE",NA
"2289","2500","HASTE ST",NA
"2290","2100","CARLETON ST",NA
"2291","2000","DURANT AVE",NA
"2292","1200","NEILSON ST",NA
"2293","2200","DURANT AVE",NA
"2294","1400","CALIFORNIA ST",NA
"2295","2000","FIFTH ST",NA
"2296","600","NEILSON ST",NA
"2297","1500","GRANT ST",NA
"2298",NA,"ALLSTON WAY","MILVIA ST"
"2299",NA,"CLAREMONT AVENUE","AVALON AVE"
"2300","2100","UNIVERSITY AVE",NA
"2301","2000","ESSEX ST",NA
"2302",NA,"RUSSELL STREET","COLLEGE AVE"
"2303","2200","CHANNING WAY",NA
"2304","200","UNIVERSITY AVE",NA
"2305","2700","PRINCE ST",NA
"2306","900","HILLDALE AVE",NA
"2307","1781","ROSE ST",NA
"2308",NA,"TUNNEL ROAD","OAK RIDGE RD"
"2309","1200","UNIVERSITY AVE",NA
"2310","2800","ADELINE ST",NA
"2311","3300","ADELINE ST",NA
"2312","2300","OAK ST",NA
"2313","1200","ASHBY AVE",NA
"2314",NA,"EIGHTH STREET","DELAWARE ST"
"2315","2000","SACRAMENTO ST",NA
"2316","2200","SHATTUCK AVE",NA
"2317","1700","FOURTH ST",NA
"2318","2534","DURANT AVE",NA
"2319","1500","POSEN AVE",NA
"2320","1400","FRONTAGE RD",NA
"2321","1000","COLUSA AVE",NA
"2322","1800","FOURTH ST",NA
"2323","2500","MCGEE AVE",NA
"2324","3000","CALIFORNIA ST",NA
"2325","2000","ALLSTON WAY",NA
"2326","1300","DELAWARE ST",NA
"2327","1200","UNIVERSITY AVE",NA
"2328","2300","TELEGRAPH AVE",NA
"2329","1100","CARLETON ST",NA
"2330","1200","ALLSTON WAY",NA
"2331","2700","TENTH ST",NA
"2332","1400","VIRGINIA ST",NA
"2333","2700","DWIGHT WAY",NA
"2334","1200","UNIVERSITY AVE",NA
"2335","1700","BLAKE ST",NA
"2336","1811","THOUSAND OAKS BLVD",NA
"2337","2500","SAN PABLO AVE",NA
"2338",NA,"HEARST AVENUE","OXFORD ST"
"2339","2400","BANCROFT WAY",NA
"2340","2100","SHATTUCK AVE",NA
"2341","2900","DERBY ST",NA
"2342","2900","SACRAMENTO ST",NA
"2343","1200","GILMAN ST",NA
"2344",NA,"ALLSTON WAY","FOURTH ST"
"2345","2300","CARLETON ST",NA
"2346","1900","UNIVERSITY AVE",NA
"2347","1100","BANCROFT WAY",NA
"2348","700","HARRISON ST",NA
"2349",NA,"TELEGRAPH AVENUE","DURANT AVE"
"2350","1200","HASKELL ST",NA
"2351","2100","HASTE ST",NA
"2352","1400","RUSSELL ST",NA
"2353","2300","HOWE ST",NA
"2354","1600","SHORT ST",NA
"2355","1900","FOURTH ST",NA
"2356","2100","FOURTH ST",NA
"2357","1800","FOURTH ST",NA
"2358","1200","OREGON ST",NA
"2359","2000","OREGON ST",NA
"2360","2000","ADDISON ST",NA
"2361","2100","ALLSTON WAY",NA
"2362","1500","UNIVERSITY AVE",NA
"2363","1900","DELAWARE ST",NA
"2364",NA,"ASHBY AVENUE","SAN PABLO AVE"
"2365",NA,"GILMAN STREET","NINTH ST"
"2366","2600","TELEGRAPH AVE",NA
"2367","2000","EIGHTH ST",NA
"2368","2200","STUART ST",NA
"2369","2200","DURANT AVE",NA
"2370","1600","MILVIA ST",NA
"2371","2400","WARRING ST",NA
"2372","1000","ADDISON ST",NA
"2373","2100","CENTER ST",NA
"2374","1500","NORTH ST",NA
"2375","2100","SIXTH ST",NA
"2376","1000","CRAGMONT AVE",NA
"2377",NA,"CEDAR STREET","KAINS AVE"
"2378","1900","FRANCISCO ST",NA
"2379",NA,"SHATTUCK AVENUE","ADDISON ST"
"2380","3000","ADELINE ST",NA
"2381","1800","WALNUT ST",NA
"2382","2400","BANCROFT WAY",NA
"2383",NA,"COLLEGE AVENUE","PARKER ST"
"2384","2400","ELLSWORTH ST",NA
"2385","1700","FOURTH ST",NA
"2386",NA,"BERKELEY WAY","SHATTUCK AVE"
"2387","2200","SHATTUCK AVE",NA
"2388","700","HARRISON ST",NA
"2389","2400","DURANT AVE",NA
"2390","2000","ALLSTON WAY",NA
"2391","1700","WARD ST",NA
"2392","2700","MARIN AVE",NA
"2393","2200","HEARST AVE",NA
"2394","2100","KITTREDGE ST",NA
"2395","2700","BANCROFT WAY",NA
"2396","1900","HEARST AVE",NA
"2397","1400","SAN PABLO AVE",NA
"2398","1100","ALLSTON WAY",NA
"2399","1100","PARKER ST",NA
"2400","2000","HEARST AVE",NA
"2401","100","BERKELEY SQ",NA
"2402","2200","HEARST AVE",NA
"2403","2500","BANCROFT WAY",NA
"2404","900","MIDDLEFIELD RD",NA
"2405","2400","ASHBY AVE",NA
"2406",NA,"FRANCISCO STREET","CALIFORNIA ST"
"2407","1000","PAGE ST",NA
"2408","2300","SHATTUCK AVE",NA
"2409","2700","MILVIA ST",NA
"2410","2100","CENTER ST",NA
"2411","2300","WARRING ST",NA
"2412","2000","BLAKE ST",NA
"2413","1900","SHATTUCK AVE",NA
"2414","1300","CURTIS ST",NA
"2415","2000","EUNICE ST",NA
"2416","2500","LE CONTE AVE",NA
"2417","2100","EMERSON ST",NA
"2418",NA,"VIRGINIA STREET","BELVEDERE AVE"
"2419","400","GILMAN ST",NA
"2420","1800","UNIVERSITY AVE",NA
"2421","2400","HILGARD AVE",NA
"2422",NA,"HARPER STREET","WOOLSEY ST"
"2423","1900","CENTER ST",NA
"2424","700","ASHBY AVE",NA
"2425","1500","GRIZZLY PEAK BLVD",NA
"2426",NA,"DURANT AVENUE","FULTON ST"
"2427","1300","HARMON ST",NA
"2428",NA,"ADELINE STREET","ASHBY AVE"
"2429",NA,"HASTE STREET","SHATTUCK AVE"
"2430",NA,"DWIGHT WAY","SAN PABLO AVE"
"2431","1100","SECOND ST",NA
"2432","600","SPRUCE ST",NA
"2433","200","MARINA BLVD",NA
"2434",NA,"GRANT STREET","BERKELEY WAY"
"2435","800","HEINZ AVE",NA
"2436","2200","BLAKE ST",NA
"2437","2700","WALKER ST",NA
"2438","2600","REGENT ST",NA
"2439","2000","ALLSTON WAY",NA
"2440","900","PARDEE ST",NA
"2441","1700","BERKELEY WAY",NA
"2442","2400","DURANT AVE",NA
"2443","1500","WALNUT ST",NA
"2444","2100","SPAULDING AVE",NA
"2445","2400","CHANNING WAY",NA
"2446","1600","UNIVERSITY AVE",NA
"2447","1100","SECOND ST",NA
"2448","2100","OXFORD ST",NA
"2449","1700","NINTH ST",NA
"2450","1","SPROUL HALL",NA
"2451",NA,"HEARST AVENUE","MILVIA ST"
"2452","100","SEAWALL DR",NA
"2453","700","HARRISON ST",NA
"2454","2200","EIGHTH ST",NA
"2455","1900","ALLSTON WAY",NA
"2456","800","BANCROFT WAY",NA
"2457","600","CEDAR ST",NA
"2458","3000","TELEGRAPH AVE",NA
"2459","2000","CENTER ST",NA
"2460","1800","DELAWARE ST",NA
"2461","2500","DURANT AVE",NA
"2462","2600","HASTE ST",NA
"2463","3100","ADELINE ST",NA
"2464","700","HARRISON ST",NA
"2465","1600","PRINCE ST",NA
"2466","1100","FIFTH ST",NA
"2467","1600","WALNUT ST",NA
"2468","1600","CHESTNUT ST",NA
"2469","2500","MILVIA ST",NA
"2470","1500","GRIZZLY PEAK BLVD",NA
"2471",NA,"ASHBY AVENUE","COLLEGE AVE"
"2472","700","WILDCAT CANYON RD",NA
"2473","2000","ASHBY AVE",NA
"2474","900","PARDEE ST",NA
"2475","2600","COLLEGE AVE",NA
"2476","1200","FIFTH ST",NA
"2477",NA,"WARD STREET","SAN PABLO AVE"
"2478","2000","OREGON ST",NA
"2479","2500","PIEDMONT AVE",NA
"2480","2800","ADELINE ST",NA
"2481",NA,"DURANT AVENUE","BOWDITCH ST"
"2482","1400","SHATTUCK AVE",NA
"2483",NA,"MILVIA STREET","ADDISON ST"
"2484","2000","HEARST AVE",NA
"2485","3000","FULTON ST",NA
"2486","1400","NINTH ST",NA
"2487","2300","JEFFERSON AVE",NA
"2488","100","DEL MAR AVE",NA
"2489","1400","ACTON CRES",NA
"2490",NA,"FOURTH STREET","VIRGINIA ST"
"2491","1100","HOPKINS ST",NA
"2492",NA,"UNIVERSITY AVENUE","W FRONTAGE RD"
"2493","1700","DELAWARE ST",NA
"2494","2000","MILVIA ST",NA
"2495","1300","FOURTH ST",NA
"2496","2400","PARKER ST",NA
"2497","2000","ALLSTON WAY",NA
"2498","1400","SEVENTH ST",NA
"2499","1400","ALCATRAZ AVE",NA
"2500",NA,"UNIVERSITY AVENUE","FOURTH ST"
"2501","3200","KING ST",NA
"2502","2700","COLLEGE AVE",NA
"2503","1500","OREGON ST",NA
"2504","1500","TYLER ST",NA
"2505","1400","CORNELL AVE",NA
"2506","200","MARINA BLVD",NA
"2507",NA,"ADELINE STREET","HARMON ST"
"2508",NA,"ALCATRAZ AVENUE","ADELINE ST"
"2509","2000","KITTREDGE ST",NA
"2510",NA,"ACTON STREET","HEARST AVE"
"2511","600","NEILSON ST",NA
"2512","1100","FIFTH ST",NA
"2513","1500","PARKER ST",NA
"2514","100","MONTROSE RD",NA
"2515","2600","TELEGRAPH AVE",NA
"2516",NA,"MILVIA STREET","VINE ST"
"2517","2000","EIGHTH ST",NA
"2518","2500","DURANT AVE",NA
"2519","1900","HEARST AVE",NA
"2520","2400","HILGARD AVE",NA
"2521","1900","ALLSTON WAY",NA
"2522","1900","SIXTH ST",NA
"2523","1200","BURNETT ST",NA
"2524","2000","HEARST AVE",NA
"2525","1300","NORTHSIDE AVE",NA
"2526","2000","BANCROFT WAY",NA
"2527","700","GRIZZLY PEAK BLVD",NA
"2528","100","ALVARADO RD",NA
"2529",NA,"VIRGINIA STREET","SIXTH ST"
"2530","1200","FIFTH ST",NA
"2531","1900","SHATTUCK AVE",NA
"2532","2100","ASHBY AVE",NA
"2533","1800","BERRYMAN ST",NA
"2534","2300","TELEGRAPH AVE",NA
"2535","1635","SOLANO AVE",NA
"2536","2000","KITTREDGE ST",NA
"2537","1800","SAN PEDRO AVE",NA
"2538","1100","KEELER AVE",NA
"2539","1300","PARKER ST",NA
"2540","1100","RUSSELL ST",NA
"2541",NA,"RUSSELL STREET","COLLEGE AVE"
"2542","1200","NEILSON ST",NA
"2543",NA,"SHATTUCK AVENUE","CENTER ST"
"2544","1200","FIFTH ST",NA
"2545",NA,"DWIGHT WAY","ELLSWORTH ST"
"2546","2700","DANA ST",NA
"2547","1500","ADDISON ST",NA
"2548",NA,"DWIGHT WAY","DANA ST"
"2549","1700","CARLETON ST",NA
"2550","2700","CEDAR ST",NA
"2551","2000","KITTREDGE ST",NA
"2552","1100","CRAGMONT AVE",NA
"2553","700","HARRISON ST",NA
"2554","1600","ALCATRAZ AVE",NA
"2555","2400","TELEGRAPH AVE",NA
"2556","1600","JOSEPHINE ST",NA
"2557","1500","BERKELEY WAY",NA
"2558","2300","SHATTUCK AVE",NA
"2559","3000","TELEGRAPH AVE",NA
"2560","1100","UNIVERSITY AVE",NA
"2561",NA,"HEARST AVENUE","MCGEE AVE"
"2562","2400","WARRING ST",NA
"2563","2200","FIFTH ST",NA
"2564","2800","KELSEY ST",NA
"2565","1700","VINE ST",NA
"2566","1900","ALLSTON WAY",NA
"2567","1600","RUSSELL ST",NA
"2568","1500","OREGON ST",NA
"2569","1300","BAY VIEW PL",NA
"2570",NA,"",NA
"2571","800","CARLETON ST",NA
"2572","200","MARINA BLVD",NA
"2573","2300","PIEDMONT AVE",NA
"2574",NA,"HASTE STREET","DANA ST"
"2575","600","UNIVERSITY AVE",NA
"2576",NA,"SPRUCE STREET","GLEN AVE"
"2577","2100","SACRAMENTO ST",NA
"2578","2600","CEDAR ST",NA
"2579","800","CEDAR ST",NA
"2580","100","BROOKSIDE DR",NA
"2581","1300","SAN PABLO AVE",NA
"2582","100","THE PLAZA DR",NA
"2583",NA,"EUCLID AVENUE","BAY VIEW PL"
"2584","2100","SHATTUCK AVE",NA
"2585","800","UNIVERSITY AVE",NA
"2586",NA,"SHATTUCK AVENUE","PARKER ST"
"2587","2300","PROSPECT ST",NA
"2588","2400","DURANT AVE",NA
"2589","2300","SHATTUCK AVE",NA
"2590","2600","DURANT AVE",NA
"2591","1200","MONTEREY AVE",NA
"2592","1100","ALLSTON WAY",NA
"2593","2400","TELEGRAPH AVE",NA
"2594",NA,"DWIGHT WAY","SAN PABLO AVE"
"2595","600","SANTA BARBARA RD",NA
"2596",NA,"CEDAR STREET","SIXTH ST"
"2597","400","GILMAN ST",NA
"2598",NA,"ADDISON STREET","SACRAMENTO ST"
"2599","2300","COLLEGE AVE",NA
"2600","2450","DURANT AVE",NA
"2601",NA,"OXFORD STREET","HEARST AVE"
"2602","800","CAMELIA ST",NA
"2603","1500","PRINCE ST",NA
"2604","2000","ASHBY AVE",NA
"2605","2100","ALLSTON WAY",NA
"2606","2300","BANCROFT WAY",NA
"2607",NA,"BANCROFT WAY","MCKINLEY AVE"
"2608","1100","EUCLID AVE",NA
"2609","1800","FOURTH ST",NA
"2610",NA,"UNIVERSITY AVENUE","SIXTH ST"
"2611","1300","WATKINS ST",NA
"2612","2300","DURANT AVE",NA
"2613","1100","SAN PABLO AVE",NA
"2614","1800","FOURTH ST",NA
"2615","2300","WOOLSEY ST",NA
"2616","1800","WARD ST",NA
"2617","600","CEDAR ST",NA
"2618","2700","MABEL ST",NA
"2619",NA,"SEVENTH STREET","CARLETON ST"
"2620",NA,"PIEDMONT AVENUE","WEBSTER ST"
"2621",NA,"HEARST AVENUE","MILVIA ST"
"2622","1300","NEILSON ST",NA
"2623","1500","OREGON ST",NA
"2624","1700","SONOMA AVE",NA
"2625","2700","MILVIA ST",NA
"2626","1600","WOOLSEY ST",NA
"2627","2700","BANCROFT WAY",NA
"2628",NA,"ADELINE STREET","WOOLSEY ST"
"2629","2000","FOURTH ST",NA
"2630","2300","FULTON ST",NA
"2631","700","ALLSTON WAY",NA
"2632","1900","HEARST AVE",NA
"2633","2000","UNIVERSITY AVE",NA
"2634","1500","CHESTNUT ST",NA
"2635","1600","WOOLSEY ST",NA
"2636",NA,"SHASTA ROAD","HILL RD"
"2637","2200","MILVIA ST",NA
"2638","1400","SIXTY-SEVENTH ST",NA
"2639","900","JONES ST",NA
"2640","2300","MILVIA ST",NA
"2641","1500","RUSSELL ST",NA
"2642","2400","TELEGRAPH AVE",NA
"2643","2100","CARLETON ST",NA
"2644","1600","CURTIS ST",NA
"2645","1700","OREGON ST",NA
"2646","2600","WARRING ST",NA
"2647","2500","DURANT AVE",NA
"2648","1900","NAPA AVE",NA
"2649","2400","DURANT AVE",NA
"2650","2400","PIEDMONT AVE",NA
"2651","1700","CHESTNUT ST",NA
"2652",NA,"UNIVERSITY AVENUE","TENTH ST"
"2653","1400","OLYMPUS AVE",NA
"2654","600","CEDAR ST",NA
"2655","1300","FOURTH ST",NA
"2656","1200","FIFTH ST",NA
"2657","2100","FOURTH ST",NA
"2658","2300","FULTON ST",NA
"2659","1500","SOLANO AVE",NA
"2660","800","PAGE ST",NA
"2661","2900","TELEGRAPH AVE",NA
"2662","2400","BANCROFT WAY",NA
"2663","2100","MILVIA ST",NA
"2664","2400","DWIGHT WAY",NA
"2665","700","DWIGHT WAY",NA
"2666","600","HARRISON ST",NA
"2667","2400","DWIGHT WAY",NA
"2668","2700","CHANNING WAY",NA
"2669","2400","DANA ST",NA
"2670","1700","SAN PABLO AVE",NA
"2671","1800","RUSSELL ST",NA
"2672","1200","CORNELL AVE",NA
"2673","1500","PARKER ST",NA
"2674",NA,"BANCROFT WAY","FULTON ST"
"2675","2000","ADDISON ST",NA
"2676","2200","SHATTUCK AVE",NA
"2677","1100","ARCH ST",NA
"2678","2600","BENVENUE AVE",NA
"2679","1400","SHATTUCK AVE",NA
"2680","2400","DURANT AVE",NA
"2681","2600","NINTH ST",NA
"2682",NA,"MABEL STREET","SIXTY-SIXTH ST"
"2683","1900","EL DORADO AVE",NA
"2684","1400","OXFORD ST",NA
"2685","1600","VIRGINIA ST",NA
"2686",NA,"BLAKE STREET","SHATTUCK AVE"
"2687","2100","OXFORD ST",NA
"2688",NA,"ALLSTON WAY","MILVIA ST"
"2689",NA,"TELEGRAPH AVENUE","HASTE ST"
"2690","800","UNIVERSITY AVE",NA
"2691","2100","UNIVERSITY AVE",NA
"2692","2200","SEVENTH ST",NA
"2693","1000","OVERLOOK RD",NA
"2694","1200","HOPKINS ST",NA
"2695","2700","HASTE ST",NA
"2696","1300","GILMAN ST",NA
"2697","900","MURRAY ST",NA
"2698","2300","LE CONTE AVE",NA
"2699","3100","ELLIS ST",NA
"2700","2300","FOURTH ST",NA
"2701",NA,"UNIVERSITY AVENUE","SAN PABLO AVE"
"2702","2300","BANCROFT WAY",NA
"2703","2600","HASTE ST",NA
"2704","800","POTTER ST",NA
"2705",NA,"BANCROFT WAY","WARRING ST"
"2706","2100","BANCROFT WAY",NA
"2707","1600","SHATTUCK AVE",NA
"2708","1200","FIFTH ST",NA
"2709","2500","NINTH ST",NA
"2710","1300","ORDWAY ST",NA
"2711","1700","LINCOLN ST",NA
"2712","2400","TENTH ST",NA
"2713","1300","NINTH ST",NA
"2714","2800","PARK ST",NA
"2715","1200","JOSEPHINE ST",NA
"2716","600","VINCENTE AVE",NA
"2717",NA,"TELEGRAPH AVENUE","BANCROFT WAY"
"2718","2300","FOURTH ST",NA
"2719",NA,"CHANNING WAY","ROOSEVELT AVE"
"2720","1500","GRANT ST",NA
"2721","2200","DWIGHT WAY",NA
"2722","2600","MABEL ST",NA
"2723","1600","STUART ST",NA
"2724",NA,"ASHBY AVENUE","DEAKIN ST"
"2725","1600","LINCOLN ST",NA
"2726","1300","DELAWARE ST",NA
"2727","900","UNIVERSITY AVE",NA
"2728",NA,"PARKER STREET","MATHEWS ST"
"2729","1400","FIFTH ST",NA
"2730",NA,"ASHBY AVENUE","SEVENTH ST"
"2731",NA,"EIGHTH STREET","GRAYSON ST"
"2732","2800","EIGHTH ST",NA
"2733","1700","UNIVERSITY AVE",NA
"2734","1900","ALLSTON WAY",NA
"2735","1500","SHATTUCK AVE",NA
"2736","2000","PRINCE ST",NA
"2737","1900","CENTER ST",NA
"2738","2100","SHATTUCK AVE",NA
"2739","1600","SHATTUCK AVE",NA
"2740","1900","OXFORD ST",NA
"2741","2600","SAN PABLO AVE",NA
"2742","2600","TELEGRAPH AVE",NA
"2743","1300","SIXTH ST",NA
"2744",NA,"HILLCREST ROAD","ROANOKE RD"
"2745","1700","BERKELEY WAY",NA
"2746","2500","LE CONTE AVE",NA
"2747","1700","STUART ST",NA
"2748","2400","SACRAMENTO ST",NA
"2749","1400","UNIVERSITY AVE",NA
"2750","100","SEAWALL DR",NA
"2751","1000","GILMAN ST",NA
"2752","900","HEINZ AVE",NA
"2753","700","ASHBY AVE",NA
"2754","1900","ALLSTON WAY",NA
"2755","1400","OXFORD ST",NA
"2756","3000","BUENA VISTA WAY",NA
"2757","2500","BENVENUE AVE",NA
"2758","2500","LE CONTE AVE",NA
"2759","900","PARDEE ST",NA
"2760","100","BERKELEY SQ",NA
"2761","1500","JUANITA WAY",NA
"2762",NA,"DERBY STREET","HILLEGASS AVE"
"2763",NA,"CALIFORNIA STREET","ALLSTON WAY"
"2764","2300","TELEGRAPH AVE",NA
"2765","1400","RUSSELL ST",NA
"2766","700","BANCROFT WAY",NA
"2767","800","HILLDALE AVE",NA
"2768",NA,"MCGEE AVENUE","RUSSELL ST"
"2769","1800","UNIVERSITY AVE",NA
"2770","1600","UNIVERSITY AVE",NA
"2771","1","SPINNAKER LN",NA
"2772","1600","WOOLSEY ST",NA
"2773","1600","HARMON ST",NA
"2774","1200","HASKELL ST",NA
"2775","1900","RUSSELL ST",NA
"2776","1600","WALNUT ST",NA
"2777","1400","RUSSELL ST",NA
"2778","2700","ALCATRAZ AVE",NA
"2779","2100","WARD ST",NA
"2780","900","HEINZ AVE",NA
"2781",NA,"SIXTH STREET","CAMELIA ST"
"2782","1700","STUART ST",NA
"2783","2400","DURANT AVE",NA
"2784","1600","SIXTY-SECOND ST",NA
"2785",NA,"NINTH STREET","BANCROFT WAY"
"2786",NA,"ADDISON STREET","SHATTUCK AVE"
"2787","2300","TELEGRAPH AVE",NA
"2788","1900","SAN PABLO AVE",NA
"2789","1700","DERBY ST",NA
"2790","2700","GRANT ST",NA
