"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"2623",2016-03-14,"Monday",19.8333333333333,"THEFT MISD. (UNDER $950)","1700","STUART ST",NA,37.857495,-122.275256,"weekday","2","S"
"2624",2016-01-27,"Wednesday",22.5833333333333,"FRAUD/FORGERY","2400","SACRAMENTO ST",NA,37.86384,-122.281391,"weekday","1","W"
"2625",2016-02-09,"Tuesday",15.1,"ALCOHOL OFFENSE","1400","UNIVERSITY AVE",NA,37.87015,-122.283507,"weekday","1","W"
"2626",2016-03-21,"Monday",14,"BURGLARY AUTO","100","SEAWALL DR",NA,37.863617,-122.317569,"weekday","3","W"
"2627",2016-03-23,"Wednesday",19.75,"BURGLARY AUTO","1000","GILMAN ST",NA,37.88015,-122.297446,"weekday","3","W"
"2628",2016-05-07,"Saturday",15.1166666666667,"THEFT MISD. (UNDER $950)","900","HEINZ AVE",NA,37.853552,-122.291561,"weekend","2","W"
"2629",2016-01-09,"Saturday",12.5833333333333,"FRAUD/FORGERY","700","ASHBY AVE",NA,37.849407,-122.29488,"weekend","1","S"
"2630",2016-04-22,"Friday",14.5,"ASSAULT/BATTERY MISD.","1900","ALLSTON WAY",NA,37.868785,-122.272701,"weekday","4","S"
"2631",2015-12-23,"Wednesday",10.5,"FRAUD/FORGERY","1400","OXFORD ST",NA,37.882135,-122.267239,"weekday","1","N"
"2632",2016-02-03,"Wednesday",0.0166666666666667,"BURGLARY RESIDENTIAL","3000","BUENA VISTA WAY",NA,37.88378,-122.255475,"weekday","4","E"
"2633",2016-05-06,"Friday",21.5,"VEHICLE STOLEN","2500","BENVENUE AVE",NA,37.865535,-122.255235,"weekday","4","E"
"2634",2015-12-16,"Wednesday",13.9166666666667,"THEFT MISD. (UNDER $950)","2500","LE CONTE AVE",NA,37.876965,-122.260544,"weekday","2","E"
"2635",2016-03-04,"Friday",21.2833333333333,"BURGLARY RESIDENTIAL","900","PARDEE ST",NA,37.856073,-122.292735,"weekday","4","W"
"2636",2016-01-13,"Wednesday",14.75,"THEFT MISD. (UNDER $950)","100","BERKELEY SQ",NA,37.871171,-122.267718,"weekday","2","E"
"2637",2016-01-28,"Thursday",10,"VEHICLE STOLEN","1500","JUANITA WAY",NA,37.877596,-122.28657,"weekday","4","W"
